Epoch,IP,Port,Avg SYN-ACK Time,Avg Transmission Time,Avg Throughput,Handshake Rate,Request Rate
1,192.168.0.1,80,0.0025532722473144533,1.9240541050997308,1016.2955650805532,100.0,100.0
1,192.168.0.176,3128,0.005276012420654297,1.7469903093001449,992.4191262956972,100.0,100.0
2,192.168.0.176,3128,0.005276012420654297,1.7469903093001449,992.4191262956972,100.0,100.0
2,192.168.0.1,80,0.019753861427307128,1.5296807986000203,924.1820552116724,100.0,100.0
3,192.168.0.1,80,0.019753861427307128,1.5296807986000203,924.1820552116724,100.0,100.0
3,192.168.0.176,3128,0.004780793190002441,1.4620712879000166,1079.0539322132386,100.0,100.0
4,192.168.0.176,3128,0.004780793190002441,1.4620712879000166,1079.0539322132386,100.0,100.0
4,192.168.0.1,80,0.002790069580078125,1.6760679891999644,1070.0990004301207,100.0,100.0
5,192.168.0.1,80,0.002790069580078125,1.6760679891999644,1070.0990004301207,100.0,100.0
5,192.168.0.176,3128,0.0066073894500732425,1.825039044299956,1001.9196995016864,100.0,100.0
6,192.168.0.176,3128,0.0066073894500732425,1.825039044299956,1001.9196995016864,100.0,100.0
6,192.168.0.1,80,0.004168200492858887,1.8322229192999657,1061.3057499836316,100.0,100.0
7,192.168.0.1,80,0.004168200492858887,1.8322229192999657,1061.3057499836316,100.0,100.0
7,192.168.0.176,3128,0.008409857749938965,1.7581949061999693,930.0849557394768,100.0,90.0
8,192.168.0.1,80,0.004161405563354492,1.4616103829001077,993.9882139931626,100.0,100.0
8,192.168.0.176,3128,0.008409857749938965,1.7581949061999693,930.0849557394768,100.0,90.0
9,192.168.0.1,80,0.0029894351959228516,1.9504827674999432,894.1629580582457,100.0,100.0
9,192.168.0.176,3128,0.008409857749938965,1.7581949061999693,930.0849557394768,100.0,90.0
10,192.168.0.1,80,0.0036718130111694338,1.8760959328998978,976.52376756111,100.0,100.0
10,192.168.0.176,3128,0.008409857749938965,1.7581949061999693,930.0849557394768,100.0,90.0
1,192.168.0.176,1080,0.005712080001831055,1.4125986140999884,971.9538674921993,100.0,100.0
2,192.168.0.176,1080,0.0396714448928833,1.477262677499675,901.5112863154518,100.0,100.0
3,192.168.0.176,1080,0.00505213737487793,1.4506331957999463,1167.7285756848655,100.0,100.0
4,192.168.0.176,1080,0.005693602561950684,1.6319362972999443,1117.438258845566,100.0,100.0
5,192.168.0.176,1080,0.005931782722473145,1.7159022209999422,986.5212993357703,100.0,100.0
6,192.168.0.176,1080,0.006640815734863281,1.5108934186000624,983.1164606667186,100.0,100.0
7,192.168.0.176,1080,0.008504939079284669,1.8213079378998374,988.4519177143235,100.0,100.0
8,192.168.0.176,1080,0.005894517898559571,1.4761736817999007,962.9271008389976,100.0,100.0
9,192.168.0.176,1080,0.005840277671813965,1.4992326615998537,994.6846261720551,100.0,100.0
10,192.168.0.176,1080,0.007027864456176758,1.7589677669001502,890.8719516463414,100.0,100.0
